Problem Statement,Summary
"▼🥇 Best dApps on Celo Blockchain ⸺ $6,000   ① $3,000        ② $2,000        ③ $1,000    Show us your best decentralized application build for real world use cases, deployed on Celo!Qualification Requirements- Contracts must be deployed on Alfajores or Mainnet
- Demo to someone on the Celo team during Sponsor Judging
- Mention smart contract addresses of all contracts deployed on Celo in your top-level project README, also Verify them on Celoscan or Celo Explorer.","Problem Statement: Create the best decentralized application (dApp) on the Celo blockchain for real-world use cases.

Prize: The total prize pool is $6,000, with the following breakdown:
1st place: $3,000
2nd place: $2,000
3rd place: $1,000

Qualification Criteria:
1. Contracts must be deployed on the Alfajores or Mainnet Celo network.
2. Demonstration of the dApp to a member of the Celo team during the sponsor judging phase.
3. Mention the smart contract addresses of all deployed contracts on Celo in the top-level project README.
4. Verify the smart contracts on Celoscan or Celo Explorer."
"▼📱 Best Mobile dApp on Celo ⸺ $2,000Build the best mobile dApp integrating Opera MiniPay or Valora Wallet hooks. MiniPay is a stablecoin-based non-custodial wallet that allows you to send and receive funds instantly using just a phone number. Check out the list of Ideas and how to Get Started Building.Qualification RequirementsIn order to qualify for this bounty, projects must be demo'ed using MiniPay Site Tester. Learn about the MiniPay tester here and come meet the Celo Devs team at our booth if you have any questions.
- Contracts must be deployed on Alfajores or Mainnet
- Demo to someone on the Celo team during Sponsor Judging
- Mention smart contract addresses of all contracts deployed on Celo in your top-level project README, also Verify them on Celoscan or Celo Explorer.
If you are building on MiniPay.
- Project must be demo'ed using MiniPay Site Tester
If you are building Valora Hooks
- Project must be demo'ed in the latest version of Valora (or if you make modifications to Valora, a build on your local machine). If you're using Valora hooks, see the Live Preview in Valora feature.Links and ResourcesMiniPay Wallethttps://www.opera.com/products/minipay↗MiniPay Testerhttps://docs.celo.org/developer/build-on-minipay#how-to-test-your-dapp-in-minipay↗Build for MiniPayhttps://docs.celo.org/developer/build-on-minipay↗Valora Hookshttps://docs.valora.xyz/hooks↗Valora Hooks Exampleshttps://github.com/valora-inc/hooks/tree/main/src/apps↗","Problem Statement:
The problem is to build the best mobile dApp integrating Opera MiniPay or Valora Wallet hooks on the Celo blockchain. The dApp should allow users to send and receive funds instantly using just a phone number.

Prize:
The prize for this bounty is $2,000.

Qualification Criteria:
1. Contracts must be deployed on the Alfajores or Mainnet.
2. The project must be demo'ed using the MiniPay Site Tester.
3. During the Sponsor Judging, the project should be demoed to someone on the Celo team.
4. The smart contract addresses of all contracts deployed on Celo should be mentioned in the top-level project README, and also verified on Celoscan or Celo Explorer.

If building on MiniPay:
- The project must be demo'ed using the MiniPay Site Tester.

If building Valora Hooks:
- The project must be demo'ed in the latest version of Valora or a build on your local machine, if modifications are made to Valora.
- If using Valora hooks, see the Live Preview in Valora feature.

Additional Resources:
- MiniPay Wallet: [link](https://www.opera.com/products/minipay)
- MiniPay Tester: [link](https://docs.celo.org/developer/build-on-minipay#how-to-test-your-dapp-in-minipay)
- Build for MiniPay: [link](https://docs.celo.org/developer/build-on-minipay)
- Valora Hooks: [link](https://docs.valora.xyz/hooks)
- Valora Hooks Examples: [link](https://github.com/valora-inc/hooks/tree/main/src/apps)"
"▼🏆 Best dApp utilizing Account Abstraction or SocialConnect on Celo ⸺ $2,000Build a dApp that improves user experience for onboarding the next billion users using SocialConnect or Account Abstraction on Celo.
SocialConnect is an open source protocol that maps off-chain personal identifiers (such as phone numbers, twitter handles, etc.) to on-chain account addresses.Qualification RequirementsIf using Account Abstraction
*Mention your ""Smart Account Factory address"" or/and ""Paymaster Address"" or/and ""Smart Account"" created using some factory in your project README.
*Mention a Tx Hash/Link performed using AA in your project README.
If you are using SocialConnect
*Mention the Issuer address you are using for lookups in your project README.
*If you are using your own Issuer address, mention that in the README.
For all bounties:
* Contracts must be deployed on Alfajores or Mainnet
* Demo to someone on the Celo team during Sponsor Judging
* Mention smart contract addresses of all contracts deployed on Celo in your top-level project README, also Verify them on Celoscan or Celo Explorer.Links and ResourcesSocialConnect Quick Starthttps://github.com/celo-org/social-connect#-quickstart↗","Problem Statement: Build a dApp that improves user experience for onboarding the next billion users using SocialConnect or Account Abstraction on Celo.

Prize: $2,000

Qualification Criteria:
- For Account Abstraction: Mention the ""Smart Account Factory address"" or/and ""Paymaster Address"" or/and ""Smart Account"" created using some factory in your project README. Also, mention a Tx Hash/Link performed using AA in your project README.
- For SocialConnect: Mention the Issuer address you are using for lookups in your project README. If using your own Issuer address, mention that in the README.
- Contracts must be deployed on Alfajores or Mainnet.
- Demo the dApp to someone on the Celo team during Sponsor Judging.
- Mention smart contract addresses of all contracts deployed on Celo in your top-level project README and verify them on Celoscan or Celo Explorer.

Resources:
- SocialConnect Quick Start: https://github.com/celo-org/social-connect#-quickstart"
"▼🏆 SAFE{CORE} AA SDK ⸺ $4,000   ① $2,000        ② $2,000    Integrate any of the following Kits inside the Safe{Core} SDK to build a flow that abstracts complex web3 related logic from users.Qualification RequirementsIt is required integrating at least two of the existing kits from the Safe{Core} Account Abstraction SDK. Projects integrating only one of the kits will not qualify.
- Auth Kit: To login with an email and generate an EOA that can be used as the owner of a Safe.
- Protocol Kit: To deploy Safes, configure them and execute transactions.
- Relay Kit: To relay Safe transactions avoiding paying fees, etc.
- API Kit: To interact with our Transaction Service and collect signatures from the owners.
- Onramp Kit: To fund a Safe account with fiat money.
Check this demo app to get an overview of what can be done: https://github.com/5afe/account-abstraction-demo-ui.Links and ResourcesSDK Docshttps://docs.safe.global/safe-core-aa-sdk/safe-core-sdk↗SDK Repohttps://github.com/safe-global/safe-core-sdk↗SDK Demohttps://github.com/5afe/account-abstraction-demo-ui↗SafeAuth Demohttps://github.com/safe-global/safe-core-sdk/tree/main/packages/auth-kit/example↗","Problem Statement: The problem is to integrate at least two kits from the Safe{Core} Account Abstraction SDK to build a flow that abstracts complex web3 related logic from users.

Prize: The prize for this challenge is $4,000, with $2,000 awarded for each of the two selected kits.

Qualification Criteria: To qualify for the prize, participants must integrate at least two kits from the Safe{Core} Account Abstraction SDK. Projects that integrate only one kit will not be eligible. The available kits to integrate are:
1. Auth Kit: To login with an email and generate an EOA that can be used as the owner of a Safe.
2. Protocol Kit: To deploy Safes, configure them, and execute transactions.
3. Relay Kit: To relay Safe transactions, avoiding paying fees, etc.
4. API Kit: To interact with the Transaction Service and collect signatures from the owners.
5. Onramp Kit: To fund a Safe account with fiat money.

To get an overview of what can be done, participants can refer to the provided demo app and explore the SDK documentation, repository, and demo links."
"▼🏆 SAFE{CORE} PROTOCOL ⸺ $4,000   ① $2,000        ② $2,000    Check this demo app to get an overview of what can be done: https://github.com/5afe/safe-core-protocol-demoQualification RequirementsIt is required integrating or implementing any part of the Safe{Core} Protocol.Links and ResourcesSafe{Core} Protocolhttps://github.com/safe-global/safe-core-protocol↗Safe{Core} Protocol Demohttps://github.com/5afe/safe-core-protocol-demo↗","Problem Statement: The problem statement is to integrate or implement any part of the Safe{Core} Protocol.

Prize: The total prize pool for this challenge is $4,000, with two prizes of $2,000 each.

Qualification Criteria: To qualify for the challenge, participants need to integrate or implement any part of the Safe{Core} Protocol. The protocol and a demo app can be found on the provided links."
"▼🏆 Safe 4337 Module integrated with Pimlico ⸺ $2,000Integrate the Safe 4337 Module and using it with the permissionless.js library from Pimlico.Qualification RequirementsIt is required integrating the Safe 4337 Module and using it with the permissionless.js library from Pimlico.Links and ResourcesPimlico Docshttps://docs.pimlico.io/permissionless/how-to/accounts/use-safe-account↗","Problem Statement: Integrate the Safe 4337 Module with the permissionless.js library from Pimlico.

Prize: $2,000

Qualification Criteria: Candidates must integrate the Safe 4337 Module and use it with the permissionless.js library from Pimlico."
"▼🏆 Best use of Chainlink CCIP ⸺ $2,000Up to 2 teams will receive $1,000This prize will be awarded to the best two projects that meaningfully use Chainlink CCIP.
The Chainlink Cross-Chain Interoperability Protocol (CCIP) provides a single simple interface through which dApps and web3 entrepreneurs can securely meet all their cross-chain needs, including token transfers and arbitrary messaging.Qualification Requirements- Using Chainlink CCIP inside your smart contracts is required
- Each project must use Chainlink CCIP in some form to make a state change on a blockchain, otherwise it will not be eligible. This means that a front end simply reading from Chainlink data feeds doesn't countLinks and ResourcesCCIP Documentationhttps://docs.chain.link/ccip↗Hackathon Resourceshttps://docs.chain.link/resources/hackathon-resources↗Developer Hub - CCIP Resourceshttps://dev.chain.link/products/ccip↗Brownie Starter Kitshttps://github.com/smartcontractkit/chainlink-mix↗dApp Tools Starter Kitshttps://github.com/smartcontractkit/dapptools-starter-kit↗Hardhat Starter Kitshttps://github.com/smartcontractkit/hardhat-starter-kit↗Truffle Starter Kitshttps://github.com/smartcontractkit/truffle-starter-kit↗","Problem Statement: The problem statement involves the application of Chainlink Cross-Chain Interoperability Protocol (CCIP) in smart contracts to enable secure cross-chain transactions and messaging for dApps and web3 entrepreneurs.

Prize: The prize for the best use of Chainlink CCIP is $2,000, which will be divided among the top two teams, with each team receiving $1,000.

Qualification Criteria:
1. Using Chainlink CCIP inside smart contracts is mandatory.
2. The project must utilize Chainlink CCIP in some manner to initiate a state change on a blockchain. Projects that solely rely on reading data from Chainlink data feeds will not be eligible. 

Additional Resources:
1. CCIP Documentation: A detailed guide to understand and implement Chainlink CCIP. [Link](https://docs.chain.link/ccip)
2. Hackathon Resources: Additional resources for the hackathon provided by Chainlink. [Link](https://docs.chain.link/resources/hackathon-resources)
3. Developer Hub - CCIP Resources: Resources specifically related to Chainlink CCIP on the developer hub. [Link](https://dev.chain.link/products/ccip)
4. Brownie Starter Kits: Starter kits for developing with Chainlink using the Brownie development framework. [Link](https://github.com/smartcontractkit/chainlink-mix)
5. dApp Tools Starter Kits: Starter kits for developing dApps with Chainlink using the dApp Tools development framework. [Link](https://github.com/smartcontractkit/dapptools-starter-kit)
6. Hardhat Starter Kits: Starter kits for developing with Chainlink using the Hardhat development framework. [Link](https://github.com/smartcontractkit/hardhat-starter-kit)
7. Truffle Starter Kits: Starter kits for developing with Chainlink using the Truffle development framework. [Link](https://github.com/smartcontractkit/truffle-starter-kit)"
"▼🏆 Best use of Chainlink Functions ⸺ $2,000Up to 2 teams will receive $1,000This prize will be awarded to the best two projects that meaningfully use Chainlink Functions.
Chainlink Functions can help you to build a dApp that pulls (or pushes) data connecting to an external API, this could be a public or private API, a SaaS app, any IoT device, or an enterprise system. In addition to off-chain data, it could utilize off-chain computations on the data as well (for example, aggregate data and put on-chain or connect to decentralized storage systems such as IPFS).Qualification Requirements- Using Chainlink Functions inside your smart contracts is required. 
- Each project must use Chainlink Functions in some form to make a state change on a blockchain, otherwise it will not be eligible. This means that a front end simply reading from Chainlink data feeds doesn't count.
Links and ResourcesChainlink Functions Docshttps://docs.chain.link/chainlink-functions↗Developer Hub - Functions Resourceshttps://dev.chain.link/products/functions↗Hackathon Resourceshttps://docs.chain.link/resources/hackathon-resources↗Brownie Starter Kitshttps://github.com/smartcontractkit/chainlink-mix↗dApp Tools Starter Kitshttps://github.com/smartcontractkit/dapptools-starter-kit↗Hardhat Starter Kitshttps://github.com/smartcontractkit/hardhat-starter-kit↗Truffle Starter Kitshttps://github.com/smartcontractkit/truffle-starter-kit↗","Problem Statement: Build a dApp that uses Chainlink Functions to pull or push data from an external API, SaaS app, IoT device, or enterprise system. The dApp should also utilize off-chain computations on the data.

Prize: $2,000, with $1,000 awarded to the best two projects that meaningfully use Chainlink Functions.

Qualification Criteria: 
- Use Chainlink Functions inside smart contracts.
- Make a state change on a blockchain using Chainlink Functions.
- Projects that only read from Chainlink data feeds without making a state change are not eligible."
"▼🏆 Best use of other Chainlink Services ⸺ $1,000This prize will be awarded to the best project that uses VRF, Automation, PoR, Data Feeds or Data StreamsQualification Requirements- Using Chainlink Data Feeds, Chainlink Data Streams, Chainlink VRF, Chainlink Proof of Reserves or Chainlink Automation inside your smart contracts is required. 
- Each project must use Chainlink in some form to make a state change on a blockchain, otherwise it will not be eligible. This means that a front end simply reading from Chainlink data feeds doesn't count.
- It must be possible for the judges to find the Chainlink usage in your code. Only the intention to use is not valid.Links and ResourcesDeveloper Hub - Data Resourceshttps://dev.chain.link/products/data↗Developer Hub - Automation Resourceshttps://dev.chain.link/products/automation↗Developer Hub - VRF Resourceshttps://dev.chain.link/products/vrf↗Developer Hub - General Resourceshttps://dev.chain.link/products/general↗Chainlink Docshttps://docs.chain.link/↗Hackathon Resourceshttps://docs.chain.link/resources/hackathon-resources↗Brownie Starter Kitshttps://github.com/smartcontractkit/chainlink-mix↗dApps Tools Starter Kitshttps://github.com/smartcontractkit/dapptools-starter-kit↗Hardhat Starter Kitshttps://github.com/smartcontractkit/hardhat-starter-kit↗Truffle Starter Kitshttps://github.com/smartcontractkit/truffle-starter-kit↗","Problem Statement: The problem is to create the best project that utilizes Chainlink services such as VRF, Automation, Proof of Reserves (PoR), Data Feeds, or Data Streams.

Prize: The prize for this challenge is $1,000.

Qualification Criteria:
- The project must incorporate Chainlink Data Feeds, Data Streams, VRF, Proof of Reserves, or Automation in the smart contracts.
- Chainlink must be used to make a state change on the blockchain. Simply reading from Chainlink data feeds without using it to make changes is not sufficient.
- The judges should be able to easily identify the usage of Chainlink in the source code. Merely intending to use it is not enough."
"▼🏆 Best use of Anon Aadhaar SDK ⸺ $8,000   ① $4,000        ② $2,500        ③ $1,500    This prize will reward the best apps built with the Anon Aadhaar SDK. Qualification Requirements🏆 Calling all innovators! We're seeking the best Anon Aadhaar-integrated apps. Show off your technical prowess, exceptional UX/UI, and problem-solving capabilities. The top implementations using the Anon Aadhaar SDK stand to win rewards! Ready to showcase your app's brilliance?Links and ResourcesDocumentationhttps://anon-aadhaar-documentation.vercel.app/docs/intro↗Github Repohttps://github.com/privacy-scaling-explorations/anon-aadhaar↗Idea listhttps://pse-team.notion.site/Cool-ideas-to-build-with-Anon-Aadhaar-fd4c76d28c244ca1b020c8a7db602728?pvs=4↗","Problem Statement: The problem statement is seeking the best Anon Aadhaar-integrated apps.

Prize: The prize for the best use of Anon Aadhaar SDK is $8,000, with the 1st place winner receiving $4,000, 2nd place receiving $2,500, and 3rd place receiving $1,500.

Qualification Criteria: The qualification requirements include showcasing technical prowess, exceptional UX/UI, and problem-solving capabilities in the implementation of the Anon Aadhaar SDK. Innovators and developers are encouraged to participate and submit their apps."
"▼📱 Best implementation of Anon Aadhaar on mobile ⸺ $1,000This prize celebrates the most outstanding mobile native implementation of the Anon Aadhaar protocol.Qualification RequirementsProjects will be judged based on:
- Technical implementation excellence
- Demonstrated efficiency in proving time
- Exceptional UX/UI design","Problem statement: Develop the best mobile native implementation of the Anon Aadhaar protocol.

Prize: $1,000

Qualification criteria:
- Technical implementation excellence
- Demonstrated efficiency in proving time
- Exceptional UX/UI design"
"▼🌏 Best social good build with Anon Aadhaar ⸺ $1,000🌟 Attention developers! We've got an exciting opportunity for you. Will we reward the project with the most social impact using Anon Aadhaar.
Qualification RequirementsAnon Aadhaar Use: Effective integration for impact.
Social Impact Potential: Measureable and sustainable change.","Problem Statement: Find the best social good build using Anon Aadhaar.

Prize: $1,000.

Qualification Criteria:
1. Anon Aadhaar Use: The project must effectively integrate the use of Anon Aadhaar.
2. Social Impact Potential: The project should have measurable and sustainable change, indicating its potential for social impact."
"▼🔔 Best Use of Push Protocol ⸺ $8,000   ① $2,500        ② $2,500        ③ $1,500        ④ $1,500    𝟭.  𝗖𝗿𝗲𝗮𝘁𝗶𝘃𝗲 𝗕𝗼𝘂𝗻𝘁𝘆
    We seek the most ingenious solutions built using the Push Protocol. Challenge the norms and serve up your most creative implementations.  
𝟮. 𝗣𝘂𝘀𝗵 𝗖𝗵𝗮𝘁 𝗖𝗼𝗻𝗱𝗶𝘁𝗶𝗼𝗻𝗮𝗹 𝗚𝗮𝘁𝗶𝗻𝗴 𝗜𝗻𝘁𝗲𝗴𝗿𝗮𝘁𝗶𝗼𝗻 𝗳𝗼𝗿 𝗗𝗔𝗽𝗽𝘀
    Showcase the potential of the Push by integrating its Conditional Gating feature into their dapps. This feature will allow dapps to create dynamic and sophisticated permissions for their user community, setting unique conditions for joining or communicating in groups.  
𝟯. 𝗡𝗼𝘁𝗶𝗳𝗶𝗰𝗮𝘁𝗶𝗼𝗻/𝗖𝗵𝗮𝗻𝗻𝗲𝗹 𝘀𝗲𝘁𝘁𝗶𝗻𝗴𝘀 𝗜𝗺𝗽𝗹𝗲𝗺𝗲𝗻𝘁𝗮𝘁𝗶𝗼𝗻
     Illustrate the power of Push Notifications by incorporating its Notification Settings option into your dapp. This  feature allows users to tailor the notifications they receive, thereby ensuring a more personalized user experience. With Boolean and Slider Settings as part of the Notification Settings, users gain the flexibility to switch preferences on and off and fine-tune them, increasing the customization and relevance of each notification.
𝟰. 𝗕𝗲𝘀𝘁 𝘂𝘀𝗲 𝗼𝗳 𝗣𝘂𝘀𝗵 𝗽𝗿𝗼𝘁𝗼𝗰𝗼𝗹 
    This bounty recognizes the most exceptional and impactful implementation of the Push Protocol, emphasizing applications that significantly enhance user interaction and experience through effective use of Push features.
Links and ResourcesChannel Settingshttps://push.org/docs/notifications/build/create-channel-settings/↗Conditional gatinghttps://push.org/docs/chat/build/conditional-rules-for-group/↗Stream Notificationshttps://push.org/docs/notifications/build/stream-notifications/↗Push Documentationhttps://push.org/docs/↗","Problem Statement:
The problem statement is to develop innovative solutions using the Push Protocol and showcase its potential in various areas such as integrations, notification settings, and overall user experience.

Prize:
The total prize pool is $8,000, which will be distributed among the winners as follows:
- First place: $2,500
- Second place: $2,500
- Third place: $1,500
- Fourth place: $1,500

Qualification Criteria:
There are four different categories for the prize, and each category has its own qualification criteria:
1. Creative Bounty: Participants need to build solutions using the Push Protocol that challenge norms and demonstrate creative implementations.
2. Conditional Gating Integration: Participants need to integrate the Conditional Gating feature of Push Protocol into their decentralized applications (dapps) to create dynamic and sophisticated permissions for user communities.
3. Notification/Channel Settings Implementation: Participants need to incorporate the Notification Settings option of Push Protocol into their dapps, allowing users to tailor their notifications and enhance personalized user experiences.
4. Best Use of Push Protocol: This category recognizes exceptional and impactful implementations of the Push Protocol that significantly enhance user interaction and experience through effective use of Push features."
"▼🙏🏽 Namaste Push Protocol Bounty ⸺ $2,000We started with GM GM and now today we are here with Namaste, but it all started with social initiative. So, this bounty is dedicated to best use of Push Protocol in Social based Dapps. Whether to use Notifications for all the important alerts, or move even further with Notification settings to customize notifs, and no dapp is complete without chat functionality, and over this push provides super power of conditional gating too.𝗘𝘅𝗮𝗺𝗽𝗹𝗲𝘀 𝗳𝗼𝗿 𝗜𝗻𝘀𝗽𝗶𝗿𝗮𝘁𝗶𝗼𝗻: 𝟭. 𝗦𝗼𝗰𝗶𝗮𝗹𝗜𝗺𝗽𝗮𝗰𝘁𝗛𝘂𝗯 : A DApp dedicated to social activists, where users can receive notifications about upcoming rallies or events. Using conditional gating, activists with specific badges or tokens can access private planning rooms. 𝟮. 𝗘𝗰𝗼𝗔𝗹𝗲𝗿𝘁 : An environmental initiative platform where users can chat about sustainable practices and get notified about eco-friendly events or sudden environmental crises. 𝟯. 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆𝗖𝗮𝗿𝗲 : A local community DApp where neighbors can communicate in real time, set up events, and receive notifications about local emergencies or activities. With conditional gating, special groups could be set up for neighborhood committees or watch groups. 𝟰. 𝗣𝘂𝘀𝗵𝗙𝗼𝗿𝗖𝗵𝗮𝗻𝗴𝗲 : A fundraising platform that sends out notifications about new charitable campaigns. Users can chat with charity organizers and use conditional gating to access exclusive fundraising events based on their donation history.
Qualification Requirements""Namaste Push Protocol"" seeks to acknowledge the innovative spirit of developers who merge social initiatives with technology. It's more than just a challenge; it's a call to action for developers to make a meaningful impact in the world using Push Protocol.","Problem Statement: This bounty is dedicated to the best use of Push Protocol in Social based Dapps, specifically focusing on the use of notifications, customization of notification settings, and chat functionality.

Prize: The prize for this competition is $2,000.

Qualification Criteria: The bounty is open for developers who merge social initiatives with technology and aim to make a meaningful impact in the world using Push Protocol. There are no specific qualification requirements mentioned in the provided text."
"▼🏆 Build a Consumer Product ⸺ $6,000   ① $2,500        ② $2,000        ③ $1,500    Leveraging Base, build a user friendly consumer product. Be creative!
Build a tool to make subscription payments easier and simpler
Make DAOs easier to discover, join, and manage
Make a creative NFT project
Fill any gaps currently not deployed on BaseQualification RequirementsWork must be deployed on or connected to Base in some way
Work that is open source and free for others to use
Shared artifacts (GitHub, planning documents, and a short video)
For this hackathon, the project must be a new development in order to ensure equal opportunity","Problem Statement: Build a user-friendly consumer product using Base.

Prize: $6,000, with prize amounts of $2,500, $2,000, and $1,500 for the top three winners.

Qualification Criteria:
1. The project must leverage Base in some way.
2. The work should be open source and available for others to use.
3. Shared artifacts such as GitHub repository, planning documents, and a short video should be provided.
4. The project must be a new development to ensure equal opportunity."
"▼🏆 Best use of Account Abstraction and Base Paymaster ⸺ $4,000   ① $2,500        ② $1,500    Utilize a smart contract wallet to further improve UX
Utilize the new Base Paymaster to allow for free end user transactions
Create a tool to make developers spin up an AA+Paymaster project fasterQualification RequirementsWork must be deployed on or connected to Base in some way
Work that is open source and free for others to use
Shared artifacts (GitHub, planning documents, and a short video)
For this hackathon, the project must be a new development in order to ensure equal opportunity","Problem Statement: The problem statement revolves around maximizing the use of Account Abstraction and Base Paymaster to enhance user experience and reduce transaction costs.

Prize: The prize for the hackathon is $4,000, with a breakdown of $2,500 for the winner and $1,500 for the runner-up.

Qualification Criteria: To be eligible for the prize, the following requirements must be met:
1. The work should be deployed on or connected to Base in some way.
2. The project must be open source and freely available for others to use.
3. Shared artifacts such as GitHub repository, planning documents, and a short video should be submitted.
4. The project must be a new development specifically created for the hackathon to ensure fairness and equal opportunity."
"▼🏆 Best Use or Extension of Fathom Protocol ⸺ $10,000   ① $4,500        ② $3,500        ③ $2,000    Ideas for Implementations:
- Enable private peer-to-peer transfers of Fathom FXD stablecoin using zero-knowledge proof technology.
- Develop Solidity smart contracts for stable pools like in Curve and integrate them with Fathom DEX.
- Create and integrate a Fathom DEX plugin that will allow cross-DEX swaps.
- Develop compliance features for FXD: daily limits, Know Your Customer (KYC) options, and wallet screening.
- Integrations for Fathom FXD stablecoin with DEXs/bridges/aggregators/etc.
- Integrations of Fathom Application with different open-source wallets.
The 1st place-winner team will have an opportunity for a Dubai trip where they will get a chance to visit the XDC Network Developer Center and have an amazing desert safari.Qualification RequirementsAs a result, we expect the working smart contracts (passing unit tests) and UI (huge bonus). Showcase the deployed dApp working on XDC mainnet / Apothem testnet.","Problem Statement: The problem statement involves finding the best use or extension of the Fathom Protocol.

Prize: The prize for the best use or extension of the Fathom Protocol is $10,000, with the first place winner receiving $4,500, the second place winner receiving $3,500, and the third place winner receiving $2,000. Additionally, the first place winner team will have the opportunity for a Dubai trip, including a visit to the XDC Network Developer Center and a desert safari.

Qualification Criteria: Participants are required to develop working smart contracts (that pass unit tests) and a user interface (with a deployed dApp) that operates on the XDC mainnet or Apothem testnet. The submission should showcase the implementation of the Fathom Protocol in a practical manner."
"▼🥇 Best overall use of Airstack APIs ⸺ $10,000   ① $2,500        ② $1,500 ×𝟺        ③ $500 ×𝟹    We're looking for the best overall apps created with Airstack. Need some inspiration? Come chat with our team or check out our ideas list.","Problem statement: The problem statement is to create the best overall apps using Airstack APIs.

Prize: The prize for the best overall use of Airstack APIs is $10,000. Additionally, there are three sub-categories with prizes of $2,500, $1,500 (four winners), and $500 (three winners).

Qualification criteria: The apps must be created using Airstack APIs to be eligible for the prize. There are no specific mentioned qualification criteria beyond that."
"▼🏆 Best New Subgraph  ⸺ $3,000   ① $2,000        ② $1,000    Build and deploy a custom subgraph that indexes data from a smart contract to query blockchain data for your dapp.","Problem Statement: The problem is to build and deploy a custom subgraph that indexes data from a smart contract to query blockchain data for a decentralized application (dapp).

Prize: The prize for the Best New Subgraph is $3,000, with $2,000 for the first place and $1,000 for the second place.

Qualification Criteria: Participants need to build and deploy a custom subgraph that effectively indexes data from a smart contract. The subgraph should be able to query blockchain data for a dapp."
"▼🏆 Best Use of Subgraph ⸺ $2,500   ① $1,700        ② $800    Query a new or existing subgraph on the Graph Explorer or hosted service using the public query URL from the subgraph dashboard.","Problem Statement: The problem is to identify the best use of a subgraph on the Graph Explorer or hosted service.

Prize: The prize for the best use of a subgraph is $2,500.

Qualification Criteria: Participants need to query a new or existing subgraph on the Graph Explorer or hosted service using the public query URL from the subgraph dashboard."
"▼🏆 Best Use of Substreams ⸺ $2,000Use a new or existing substream to process and consume web3 data. This includes the use of Substreams-powered subgraphs.Qualification RequirementsUse a new or existing substream to process and consume web3 data. This includes the use of Substreams-powered subgraphs.","Problem Statement: The problem is to find and implement the best use of substreams in processing and consuming web3 data, including the use of Substreams-powered subgraphs.

Prize: The prize for the best use of substreams is $2,000.

Qualification Criteria: Participants need to use a new or existing substream to process and consume web3 data. This should include the use of Substreams-powered subgraphs."
"▼🚀 Best Omnichain Contract ⸺ $2,000ZetaChain is an EVM L1 that let's you build omnichain contracts. Users can deposit/withdraw value and call omnichain contracts from any connected chain. Create an awesome dapp that leverages ZetaChain's omnichain contracts capabilities.Qualification Requirements- Implement onCrossChainCall functionality
- Compatible with all chains connected to ZetaChain (Ethereum, Polygon, BSC, and Bitcoin)
- Use ZRC-20
- Implement custom logic (not tutorials or simple examples)Links and ResourcesOmnichain contracts overviewhttps://www.zetachain.com/docs/developers/omnichain/overview/↗Tutorialshttps://www.zetachain.com/docs/developers/omnichain/tutorials/hello/↗Omnichain swap tutorial (video)https://www.youtube.com/watch?v=t59EtsBequI↗","Problem Statement: Create an awesome dapp that leverages ZetaChain's omnichain contracts capabilities.

Prize: $2,000 

Qualification Criteria:
- Implement onCrossChainCall functionality
- Compatible with all chains connected to ZetaChain (Ethereum, Polygon, BSC, and Bitcoin)
- Use ZRC-20
- Implement custom logic (not tutorials or simple examples)"
"▼🟠 Best Contract for Bitcoin ⸺ $2,000ZetaChain offers an EVM platform for developers to build contracts that can be deposited value and called from Bitcoin. Come up with and implement the most interesting use case for an omnichain contract compatible with Bitcoin.Qualification Requirements- Implement onCrossChainCall functionality
- Compatible with Bitcoin (compatibility with Ethereum, Polygon, and BSC is a plus)
- Provide useful functionality for Bitcoin users
- Let users deposit and withdraw BTC
- Use ZRC-20
- Implement custom logic (not tutorials or simple examples)Links and ResourcesOmnichain staking tutorial (compatible with Bitcoin)https://www.zetachain.com/docs/developers/omnichain/tutorials/staking/↗Omnichain swap tutorial (compatible with Bitcoin)https://www.zetachain.com/docs/developers/omnichain/tutorials/swap/↗Bitcoin frontend tutorialhttps://www.zetachain.com/docs/developers/omnichain/tutorials/bitcoin-frontend/↗","Problem Statement: Create and implement an interesting use case for an omnichain contract compatible with Bitcoin that provides useful functionality for Bitcoin users.

Prize: $2,000ZetaChain

Qualification Criteria:
- Implement onCrossChainCall functionality
- Compatibility with Bitcoin (compatibility with Ethereum, Polygon, and BSC is a plus)
- Provide useful functionality for Bitcoin users
- Ability for users to deposit and withdraw BTC
- Use ZRC-20
- Implement custom logic (not tutorials or simple examples)"
